Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCAPL,SCAPD,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPL,GCAPD,GCATO,GCASh,GCAFld,GCADef,Matches
2109,Giuseppe Pezzella,ITA,DF,Lecce,Serie A,24,1997,10.2,17,1.67,14,2,0,0,1,0,3,0.29,3,0,0,0,0,0,0
2110,Luca Pfeiffer,GER,FW,Stuttgart,Bundesliga,25,1996,7.8,24,3.08,20,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2111,Maximilian Philipp,GER,FW,"Wolfsburg,Werder Bremen","Bundesliga,Bundesliga",28,1994,6.2,14,2.26,8,1,1,2,2,0,3,0.48,2,1,0,0,0,0,0
2113,Kalvin Phillips,ENG,MF,Manchester City,Premier League,26,1995,3.3,7,2.12,5,0,0,2,0,0,1,0.3,1,0,0,0,0,0,0
2114,Nathaniel Phillips,ENG,DF,Liverpool,Premier League,25,1997,0.7,1,1.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,Krzysztof Piątek,POL,FW,Salernitana,Serie A,27,1995,23.8,53,2.23,36,0,5,6,5,1,10,0.42,6,0,1,3,0,0,0
2116,Roberto Piccoli,ITA,FW,"Hellas Verona,Empoli","Serie A,Serie A",21,2001,7.8,10,1.28,6,0,1,3,0,0,1,0.13,0,0,1,0,0,0,0
2118,Charles Pickel,COD,MF,Cremonese,Serie A,25,1997,27.6,52,1.88,49,1,0,2,0,0,2,0.07,2,0,0,0,0,0,0
2119,Jordan Pickford,ENG,GK,Everton,Premier League,28,1994,37,10,0.27,4,6,0,0,0,0,1,0.03,1,0,0,0,0,0,0
2120,Amos Pieper,GER,DF,Werder Bremen,Bundesliga,24,1998,21.7,19,0.88,17,0,0,1,1,0,2,0.09,2,0,0,0,0,0,0
2121,Ronaël Pierre-Gabriel,FRA,DF,"Espanyol,Strasbourg","La Liga,Ligue 1",24,1998,9.9,19,1.92,12,3,1,1,1,1,1,0.1,1,0,0,0,0,0,0
2123,Andrea Pinamonti,ITA,FW,Sassuolo,Serie A,23,1999,24,53,2.21,34,0,1,10,7,1,3,0.13,0,0,0,2,1,0,0
2124,Ethan Pinnock,JAM,DF,Brentford,Premier League,29,1993,30,25,0.83,18,3,0,3,1,0,5,0.17,5,0,0,0,0,0,0
2125,Yeremi Pino,ESP,"FW,MF",Villarreal,La Liga,19,2002,27.2,87,3.2,61,1,8,11,6,0,9,0.33,7,0,0,2,0,0,0
2126,Gerard Piqué,ESP,DF,Barcelona,La Liga,35,1987,4.3,5,1.16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,Lorenzo Pirola,ITA,DF,Salernitana,Serie A,20,2002,21.6,11,0.51,5,1,0,4,1,0,1,0.05,0,0,0,1,0,0,0
2128,Niccolò Pisilli,ITA,MF,Roma,Serie A,17,2004,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2129,Marko Pjaca,CRO,"MF,FW",Empoli,Serie A,27,1995,5.8,27,4.66,17,4,3,2,1,0,1,0.17,1,0,0,0,0,0,0
2130,Óscar Plano,ESP,"FW,MF",Valladolid,La Liga,31,1991,22.6,56,2.48,46,0,1,4,4,1,7,0.31,5,0,0,1,1,0,0
2131,Gonzalo Plata,ECU,FW,Valladolid,La Liga,21,2000,25.6,93,3.63,66,7,9,1,8,2,11,0.43,8,0,1,0,2,0,0
2132,Marvin Plattenhardt,GER,DF,Hertha BSC,Bundesliga,30,1992,26.7,59,2.21,25,30,1,0,3,0,6,0.22,3,1,1,0,1,0,0
2133,Alassane Pléa,FRA,FW,M'Gladbach,Bundesliga,29,1993,19.7,67,3.4,56,2,2,3,3,1,12,0.61,11,0,1,0,0,0,0
2134,Tommaso Pobega,ITA,MF,Milan,Serie A,23,1999,9.8,22,2.24,15,0,1,3,2,1,2,0.2,2,0,0,0,0,0,0
2135,Daniel Podence,POR,"FW,MF",Wolves,Premier League,26,1995,19.7,69,3.5,46,9,3,8,2,1,3,0.15,2,0,1,0,0,0,0
2136,Paul Pogba,FRA,"MF,FW",Juventus,Serie A,29,1993,1.2,8,6.67,3,0,1,1,3,0,1,0.83,0,0,0,0,1,0,0
2137,Joel Pohjanpalo,FIN,"FW,MF",Leverkusen,Bundesliga,27,1994,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2138,Matteo Politano,ITA,FW,Napoli,Serie A,28,1993,13,71,5.46,45,8,8,6,4,0,4,0.31,3,0,0,1,0,0,0
2139,Sebastian Polter,GER,FW,Schalke 04,Bundesliga,31,1991,7,16,2.29,13,0,0,2,1,0,4,0.57,3,0,0,0,1,0,0
2140,Ezequiel Ponce,ARG,"FW,MF",Elche,La Liga,25,1997,12.5,25,2,20,0,0,4,1,0,4,0.32,1,0,0,2,1,0,0
2141,Julien Ponceau,FRA,MF,Lorient,Ligue 1,21,2000,18.4,50,2.72,45,1,2,0,2,0,4,0.22,4,0,0,0,0,0,0
2142,Marin Pongračić,CRO,DF,Lecce,Serie A,24,1997,8.8,6,0.68,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2143,Nick Pope,ENG,GK,Newcastle Utd,Premier League,30,1992,36.2,5,0.14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2144,Łukasz Poręba,POL,MF,Lens,Ligue 1,22,2000,2.9,9,3.1,8,0,0,0,0,1,2,0.69,1,0,0,0,0,1,0
2145,Jackson Porozo,ECU,DF,Troyes,Ligue 1,21,2000,18,9,0.5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2146,Pedro Porro,ESP,"DF,MF",Tottenham,Premier League,22,1999,12.6,41,3.25,29,7,1,2,1,1,6,0.48,6,0,0,0,0,0,0
2147,Francisco Portillo,ESP,"MF,FW",Almería,La Liga,32,1990,8,26,3.25,24,0,1,0,0,1,2,0.25,2,0,0,0,0,0,0
2148,Portu,ESP,"MF,DF",Getafe,La Liga,30,1992,19.7,53,2.69,37,4,5,3,4,0,3,0.15,2,0,1,0,0,0,0
2149,Stefan Posch,AUT,DF,"Bologna,Hoffenheim","Serie A,Bundesliga",25,1997,28.3,54,1.91,41,4,3,1,4,1,4,0.14,3,0,1,0,0,0,0
2151,Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,28,1994,4.6,13,2.83,7,0,3,2,1,0,2,0.43,1,0,0,0,1,0,0
2152,José Pozo,ESP,"MF,FW",Rayo Vallecano,La Liga,26,1996,1,7,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2153,Manuel Pozo,ESP,FW,Valladolid,La Liga,20,2001,0.2,2,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2154,Alejandro Pozo Pozo,ESP,DF,Almería,La Liga,23,1999,20.9,49,2.34,38,6,2,2,0,1,7,0.33,7,0,0,0,0,0,0
2155,Dennis Praet,BEL,"MF,FW",Leicester City,Premier League,28,1994,7.2,14,1.94,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2156,Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,29,1992,4.6,5,1.09,5,0,0,0,0,0,1,0.22,1,0,0,0,0,0,0
2157,Sanjin Prcić,BIH,MF,Strasbourg,Ligue 1,28,1993,18.1,37,2.04,27,4,1,1,4,0,2,0.11,2,0,0,0,0,0,0
2158,Isaac Price,NIR,MF,Everton,Premier League,18,2003,0.4,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2159,Grischa Prömel,GER,MF,Hoffenheim,Bundesliga,27,1995,16.2,20,1.23,12,1,0,2,3,2,1,0.06,1,0,0,0,0,0,0
2160,Ivan Provedel,ITA,GK,Lazio,Serie A,28,1994,37.9,7,0.18,7,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0
2161,Javi Puado,ESP,"FW,MF",Espanyol,La Liga,24,1998,26,57,2.19,35,2,8,8,4,0,7,0.27,3,0,1,2,1,0,0
2162,Mehdi Puch Herrantz,FRA,MF,Ajaccio,Ligue 1,18,2004,0.5,3,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2163,Tymoteusz Puchacz,POL,DF,Union Berlin,Bundesliga,23,1999,0.6,2,3.33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,Arnau Puigmal,ESP,"MF,FW",Almería,La Liga,21,2001,8.5,26,3.06,20,1,1,0,2,2,1,0.12,1,0,0,0,0,0,0
2165,Christian Pulisic,USA,"FW,DF",Chelsea,Premier League,23,1998,9.1,24,2.64,21,0,0,3,0,0,3,0.33,3,0,0,0,0,0,0
2166,Ignacio Pussetto,ARG,"MF,DF",Sampdoria,Serie A,26,1995,1.7,2,1.18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2167,Niklas Pyyhtiä,FIN,MF,Bologna,Serie A,18,2003,1.2,3,2.5,2,0,0,1,0,0,1,0.83,1,0,0,0,0,0,0
2168,Fabio Quagliarella,ITA,FW,Sampdoria,Serie A,39,1983,8.9,23,2.58,19,0,1,3,0,0,3,0.34,3,0,0,0,0,0,0
2169,Giacomo Quagliata,ITA,DF,Cremonese,Serie A,22,2000,7.8,28,3.59,16,7,0,1,4,0,2,0.26,1,1,0,0,0,0,0
2170,Eduardo Quaresma,POR,DF,Hoffenheim,Bundesliga,20,2002,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2171,Joshua Quarshie,GER,MF,Hoffenheim,Bundesliga,18,2004,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2172,Ghjuvanni Quilichini,FRA,GK,Ajaccio,Ligue 1,19,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,Domingos Quina,POR,MF,Elche,La Liga,22,1999,3.1,6,1.94,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2174,Rubén Quintanilla,ESP,DF,Mallorca,La Liga,20,2002,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2175,Adrien Rabiot,FRA,MF,Juventus,Serie A,27,1995,30.5,82,2.69,68,0,3,6,3,2,8,0.26,5,0,1,1,1,0,0
2176,Nemanja Radonjić,SRB,"MF,FW",Torino,Serie A,26,1996,16.2,49,3.02,28,4,14,2,1,0,6,0.37,5,0,1,0,0,0,0
2177,Ivan Radovanović,SRB,"MF,DF",Salernitana,Serie A,33,1988,7.5,2,0.27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2178,Ionuț Radu,ROU,GK,"Cremonese,Auxerre","Serie A,Ligue 1",25,1997,26,9,0.35,8,1,0,0,0,0,1,0.04,1,0,0,0,0,0,0
2180,Ștefan Radu,ROU,FW,Lazio,Serie A,35,1986,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2181,Antonio Raillo,ESP,DF,Mallorca,La Liga,30,1991,30.7,15,0.49,11,1,0,1,2,0,5,0.16,4,0,0,0,1,0,0
2182,Antonio Raimondo,ITA,FW,Bologna,Serie A,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2183,Predrag Rajković,SRB,GK,Mallorca,La Liga,26,1995,36,11,0.31,8,3,0,0,0,0,2,0.06,1,1,0,0,0,0,0
2184,Ivan Rakitić,CRO,MF,Sevilla,La Liga,34,1988,19.9,66,3.32,45,14,0,2,3,2,6,0.3,3,3,0,0,0,0,0
2185,Diant Ramaj,GER,GK,Eint Frankfurt,Bundesliga,20,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2186,Largie Ramazani,BEL,"FW,MF",Almería,La Liga,21,2001,15.6,42,2.69,24,1,9,4,2,2,4,0.26,1,0,1,1,1,0,0
2187,Simon Ramet,FRA,DF,Lille,Ligue 1,19,2003,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2188,Adil Rami,FRA,DF,Troyes,Ligue 1,36,1985,17.7,9,0.51,7,0,0,1,0,1,1,0.06,1,0,0,0,0,0,0
2189,Chris Ramos,ESP,FW,Cádiz,La Liga,25,1997,7.9,12,1.52,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0
2190,Sergio Ramos,ESP,DF,Paris S-G,Ligue 1,36,1986,30,21,0.7,16,0,0,2,3,0,1,0.03,1,0,0,0,0,0,0
2191,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24,1998,38,3,0.08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,Aaron Ramsey,WAL,MF,Nice,Ligue 1,31,1990,17.6,62,3.52,42,14,0,5,1,0,4,0.23,2,1,0,0,1,0,0
2193,Jacob Ramsey,ENG,"MF,FW",Aston Villa,Premier League,21,2001,29.3,81,2.76,69,0,4,2,5,1,11,0.38,8,0,1,1,1,0,0
2194,Luca Ranieri,ITA,DF,Fiorentina,Serie A,23,1999,5.6,4,0.71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,Andrea Ranocchia,ITA,DF,Monza,Serie A,34,1988,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,Filippo Ranocchia,ITA,MF,Monza,Serie A,21,2001,5.9,19,3.22,8,4,1,5,1,0,1,0.17,1,0,0,0,0,0,0
2197,Lilian Raolisoa,FRA,"DF,MF",Angers,Ligue 1,22,2000,1.9,6,3.16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,Raphinha,BRA,FW,Barcelona,La Liga,25,1996,23,117,5.09,77,22,4,9,4,1,15,0.65,13,0,1,1,0,0,0
2199,Nicolai Rapp,GER,"MF,DF",Werder Bremen,Bundesliga,25,1996,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,Elba Rashani,KVX,"MF,FW",Clermont Foot,Ligue 1,29,1993,24,46,1.92,37,0,1,5,2,1,7,0.29,5,0,0,2,0,0,0
2201,Marcus Rashford,ENG,FW,Manchester Utd,Premier League,24,1997,32,98,3.06,61,1,17,14,4,1,14,0.44,8,0,3,2,1,0,0
2202,Giacomo Raspadori,ITA,"FW,MF","Napoli,Sassuolo","Serie A,Serie A",22,2000,10.6,43,4.06,27,8,1,5,2,0,3,0.28,2,1,0,0,0,0,0
2204,Rafael Ratão,BRA,"FW,MF",Toulouse,Ligue 1,26,1995,20.6,58,2.82,47,0,2,7,1,1,4,0.19,4,0,0,0,0,0,0
2205,David Raum,GER,"DF,MF",RB Leipzig,Bundesliga,24,1998,18.7,57,3.05,28,22,3,3,1,0,3,0.16,2,1,0,0,0,0,0
2206,Nicola Ravaglia,ITA,GK,Sampdoria,Serie A,33,1988,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,Rayan Raveloson,MAD,"DF,MF",Auxerre,Ligue 1,25,1997,27,42,1.56,36,0,1,3,1,1,2,0.07,2,0,0,0,0,0,0
2208,David Raya,ESP,GK,Brentford,Premier League,26,1995,38,12,0.32,9,3,0,0,0,0,2,0.05,1,1,0,0,0,0,0
2209,Tim Ream,USA,DF,Fulham,Premier League,34,1987,32.2,24,0.75,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2210,Ante Rebić,CRO,"FW,MF",Milan,Serie A,28,1993,10.9,34,3.12,23,1,1,4,4,1,3,0.28,3,0,0,0,0,0,0
2211,Arkadiusz Reca,POL,DF,Spezia,Serie A,27,1995,24.1,50,2.07,39,2,3,4,1,1,2,0.08,1,0,0,1,0,0,0
2212,Nathan Redmond,ENG,DF,Southampton,Premier League,28,1994,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2213,Harrison Reed,ENG,MF,Fulham,Premier League,27,1995,31.8,74,2.33,64,2,2,3,3,0,7,0.22,6,0,1,0,0,0,0
2214,Sergio Reguilón,ESP,DF,Atlético Madrid,La Liga,25,1996,3.4,13,3.82,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2215,Bobby Reid,JAM,"FW,DF",Fulham,Premier League,29,1993,27.5,54,1.96,36,1,3,5,7,2,3,0.11,1,0,0,1,0,1,0
2216,Pepe Reina,ESP,GK,Villarreal,La Liga,39,1982,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,Jeff Reine-Adélaïde,FRA,MF,"Troyes,Lyon","Ligue 1,Ligue 1",24,1998,6.3,26,4.13,22,1,1,1,0,1,3,0.48,3,0,0,0,0,0,0
2219,Reinier,BRA,"MF,FW",Girona,La Liga,20,2002,7.2,19,2.64,16,0,1,1,1,0,2,0.28,2,0,0,0,0,0,0
2220,Rocco Reitz,GER,MF,M'Gladbach,Bundesliga,20,2002,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2221,Karim Rekik,NED,DF,Sevilla,La Liga,27,1994,13.1,14,1.07,12,0,0,1,1,0,2,0.15,2,0,0,0,0,0,0
2222,Álex Remiro,ESP,GK,Real Sociedad,La Liga,27,1995,38,6,0.16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2223,Panagiotis Retsos,GRE,DF,Hellas Verona,Serie A,23,1998,1.4,1,0.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2224,Marco Reus,GER,"MF,FW",Dortmund,Bundesliga,33,1989,15,52,3.47,36,4,1,9,2,0,7,0.47,3,1,0,2,1,0,0
2225,Alejandro Revuelta Montero,ESP,DF,Getafe,La Liga,22,2000,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2226,Elvis Rexhbeçaj,GER,MF,Augsburg,Bundesliga,24,1997,28,39,1.39,31,1,0,2,5,0,0,0,0,0,0,0,0,0,0
2227,Gio Reyna,USA,"FW,MF",Dortmund,Bundesliga,19,2002,6.9,28,4.06,24,0,0,3,1,0,5,0.72,3,0,0,1,1,0,0
2228,Chadi Riad,MAR,MF,Barcelona,La Liga,19,2003,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2229,Nico Ribaudo,ESP,"MF,FW",Espanyol,La Liga,21,2001,13.9,51,3.67,34,7,1,2,4,3,2,0.14,2,0,0,0,0,0,0
2230,Alexsandro Ribeiro,BRA,DF,Lille,Ligue 1,22,1999,17.9,11,0.61,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2231,Franck Ribéry,FRA,MF,Salernitana,Serie A,39,1983,0.4,1,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2232,Samuele Ricci,ITA,MF,Torino,Serie A,20,2001,23,38,1.65,27,3,2,4,2,0,1,0.04,0,0,0,1,0,0,0
2233,Declan Rice,ENG,MF,West Ham,Premier League,23,1999,36.4,100,2.75,86,7,1,1,2,3,6,0.16,6,0,0,0,0,0,0
2234,Chris Richards,USA,DF,Crystal Palace,Premier League,22,2000,5,2,0.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2235,Richarlison,BRA,"MF,FW",Tottenham,Premier League,25,1997,11.2,35,3.13,22,0,1,4,8,0,5,0.45,3,0,0,0,2,0,0
2236,Marco Richter,GER,"MF,FW",Hertha BSC,Bundesliga,24,1997,20.4,58,2.84,37,7,5,7,1,1,11,0.54,8,1,0,1,1,0,0
2237,Diego Rico,ESP,DF,Real Sociedad,La Liga,29,1993,18.3,33,1.8,26,2,1,1,1,2,1,0.05,1,0,0,0,0,0,0
2238,Jaïro Riedewald,NED,"DF,MF",Crystal Palace,Premier League,25,1996,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2239,Manuel Riemann,GER,GK,Bochum,Bundesliga,33,1988,34,21,0.62,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,Tomás Rincón,VEN,MF,Sampdoria,Serie A,34,1988,28.4,39,1.37,35,0,0,1,1,2,3,0.11,2,0,0,0,0,1,0
2241,Rémy Riou,FRA,GK,Lyon,Ligue 1,34,1987,6.7,1,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2242,Renaud Ripart,FRA,"FW,MF",Troyes,Ligue 1,29,1993,14.7,40,2.72,29,0,2,5,4,0,7,0.48,2,0,1,2,2,0,0
2243,Rodrigo Riquelme,ESP,"MF,FW",Girona,La Liga,22,2000,24.2,69,2.85,46,6,10,4,3,0,9,0.37,3,3,0,2,1,0,0
2244,Matt Ritchie,SCO,"FW,MF",Newcastle Utd,Premier League,32,1989,0.4,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2245,Sergi Roberto,ESP,"DF,MF",Barcelona,La Liga,30,1992,14.5,29,2,24,0,0,4,1,0,3,0.21,3,0,0,0,0,0,0
2246,Lucas Robertone,ARG,MF,Almería,La Liga,25,1997,31.6,109,3.45,74,25,3,2,4,1,11,0.35,6,4,1,0,0,0,0
2247,Andrew Robertson,SCO,DF,Liverpool,Premier League,28,1994,28.7,95,3.31,59,27,1,4,1,3,13,0.45,9,4,0,0,0,0,0
2248,Antonee Robinson,USA,DF,Fulham,Premier League,24,1997,34.3,58,1.69,52,2,2,0,1,1,6,0.17,4,0,1,0,1,0,0
2249,Joel Robles,ESP,GK,Leeds United,Premier League,32,1990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250,Joel Roca,ESP,"MF,FW",Girona,La Liga,17,2005,0.9,5,5.56,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2251,Marc Roca,ESP,MF,Leeds United,Premier League,25,1996,25.7,52,2.02,34,10,2,3,2,1,4,0.16,1,1,0,1,1,0,0
2252,Enzo Roco,CHI,DF,Elche,La Liga,29,1992,18.4,12,0.65,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2253,Marek Rodák,SVK,GK,Fulham,Premier League,25,1996,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2254,Sebastian Rode,GER,MF,Eint Frankfurt,Bundesliga,31,1990,15.7,32,2.04,29,0,0,1,2,0,2,0.13,2,0,0,0,0,0,0
2255,Joe Rodon,WAL,DF,Rennes,Ligue 1,24,1997,15.7,3,0.19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2256,Rodri,ESP,MF,"Manchester City,Betis","Premier League,La Liga",26,1996,50.1,150,2.99,129,1,7,9,3,1,18,0.36,16,0,0,1,1,0,0
2258,Rodrigo,ESP,"FW,MF",Leeds United,Premier League,31,1991,21.5,45,2.09,30,0,4,8,2,1,4,0.19,2,0,0,2,0,0,0
2259,Ángel Rodríguez,ESP,"FW,MF",Mallorca,La Liga,35,1987,4.4,5,1.14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2260,Óscar Rodríguez Arnaiz,ESP,MF,Celta Vigo,La Liga,24,1998,19.7,58,2.94,39,11,2,6,0,0,2,0.1,2,0,0,0,0,0,0
2261,Dani Rodríguez,ESP,MF,Mallorca,La Liga,34,1988,23.3,54,2.32,39,4,4,3,3,1,10,0.43,8,1,0,0,0,1,0
2262,Guido Rodríguez,ARG,MF,Betis,La Liga,28,1994,31.9,37,1.16,32,1,0,2,2,0,2,0.06,2,0,0,0,0,0,0
2263,Miguel Rodríguez,ESP,"MF,FW",Celta Vigo,La Liga,19,2003,2.8,7,2.5,7,0,0,0,0,0,2,0.71,2,0,0,0,0,0,0
2264,Pablo Rodríguez,ESP,"FW,MF",Lecce,Serie A,20,2001,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265,Ricardo Rodríguez,SUI,DF,Torino,Serie A,29,1992,29.7,57,1.92,46,8,1,2,0,0,2,0.07,2,0,0,0,0,0,0
2266,Rodrygo,BRA,"FW,MF",Real Madrid,La Liga,21,2001,26.4,133,5.04,78,5,25,9,15,1,21,0.8,12,0,6,0,3,0,0
2267,Mads Roerslev,DEN,DF,Brentford,Premier League,23,1999,12.3,13,1.06,13,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0
2268,Agustín Rogel,URU,DF,Hertha BSC,Bundesliga,24,1997,15.8,7,0.44,5,1,0,0,1,0,1,0.06,0,1,0,0,0,0,0
2269,Rogério,BRA,DF,Sassuolo,Serie A,24,1998,33.3,74,2.22,62,6,1,1,4,0,6,0.18,5,0,0,0,1,0,0
2270,Merlin Röhl,GER,"MF,FW",Freiburg,Bundesliga,20,2002,0.6,2,3.33,2,0,0,0,0,0,1,1.67,1,0,0,0,0,0,0
2271,Tony Rölke,GER,FW,Hertha BSC,Bundesliga,19,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2272,Filippo Romagna,ITA,DF,Sassuolo,Serie A,25,1997,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,Alessio Romagnoli,ITA,DF,Lazio,Serie A,27,1995,32.5,14,0.43,11,3,0,0,0,0,3,0.09,3,0,0,0,0,0,0
2274,Simone Romagnoli,ITA,DF,Lecce,Serie A,32,1990,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2275,Leonardo Román,ESP,GK,Mallorca,La Liga,22,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2276,Cristian Romero,ARG,DF,Tottenham,Premier League,24,1998,26.3,24,0.91,22,0,0,0,1,1,4,0.15,3,0,0,0,1,0,0
2277,Iván Romero,ESP,MF,Sevilla,La Liga,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,Luka Romero,ARG,FW,Lazio,Serie A,17,2004,1.7,4,2.35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2279,Oriol Romeu,ESP,MF,"Southampton,Girona","Premier League,La Liga",30,1991,33.6,59,1.76,51,0,0,4,3,1,3,0.09,3,0,0,0,0,0,0
2281,Cristiano Ronaldo,POR,FW,Manchester Utd,Premier League,37,1985,5.8,10,1.72,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2282,Connor Ronan,IRL,MF,Wolves,Premier League,24,1998,0,1,#DIV/0!,1,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2283,Salomón Rondón,VEN,FW,Everton,Premier League,32,1989,1.2,4,3.33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,Valentin Rongier,FRA,MF,Marseille,Ligue 1,27,1994,33.7,72,2.14,64,0,3,1,1,3,5,0.15,4,0,0,0,0,1,0
2285,Marten de Roon,NED,MF,Atalanta,Serie A,31,1991,32.9,51,1.55,45,0,1,1,3,1,2,0.06,2,0,0,0,0,0,0
2286,Pablo Rosario,NED,"MF,DF",Nice,Ligue 1,25,1997,19.6,42,2.14,34,3,3,1,1,0,2,0.1,1,0,0,1,0,0,0
2287,Francesco Rossi,ITA,GK,Atalanta,Serie A,31,1991,0,0,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0
2288,Tom Rothe,GER,DF,Dortmund,Bundesliga,17,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2289,Joe Rothwell,ENG,MF,Bournemouth,Premier League,27,1995,11.3,24,2.12,16,6,1,1,0,0,2,0.18,1,1,0,0,0,0,0
2290,Anthony Rouault,FRA,DF,Toulouse,Ligue 1,21,2001,36.8,13,0.35,10,0,0,2,0,1,1,0.03,0,0,0,1,0,0,0
2291,Jérôme Roussillon,FRA,"MF,DF","Wolfsburg,Union Berlin","Bundesliga,Bundesliga",29,1993,10.8,22,2.04,16,1,4,0,1,0,4,0.37,3,0,0,0,1,0,0
2293,Nicolò Rovella,ITA,MF,"Monza,Juventus","Serie A,Serie A",20,2001,19.6,53,2.7,41,5,1,1,2,3,7,0.36,5,1,0,0,0,1,0
2295,Amir Rrahmani,KVX,DF,Napoli,Serie A,28,1994,27.2,26,0.96,23,0,1,1,0,1,4,0.15,4,0,0,0,0,0,0
