,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
40,Álex Collado,attacking midfield,8.1,276,25,34,10,1.6,58,202,189,442,15,24,43,23,6,19,17,0.6,0.4,1
41,Alessandro Cortinovis,attacking midfield,0.1,5,0,2,2,0.0,3,0,5,8,0,0,2,0,0,0,0,0.0,0.0,0
42,David Pereira da Costa,attacking midfield,15.6,615,69,117,32,4.2,58,441,419,906,27,61,133,73,9,45,26,2.8,-1.8,3
43,Muhammed Damar,attacking midfield,1.8,52,5,9,1,0.1,17,49,29,94,0,2,7,3,1,6,1,0.1,-0.1,0
44,Kévin Danois,attacking midfield,0.0,1,0,0,0,0.0,0,3,0,3,0,0,0,0,0,0,0,0.0,0.0,0
45,Kevin De Bruyne,attacking midfield,26.9,1192,124,246,96,14.1,100,743,1041,1860,32,100,245,81,16,100,65,5.6,1.4,28
46,Charles De Ketelaere,attacking midfield,12.4,299,28,59,19,1.8,50,241,252,533,36,45,69,26,14,60,19,2.0,-2.0,2
47,Brahim Díaz,attacking midfield,21.4,575,80,121,40,3.4,63,538,413,990,39,80,116,68,17,65,35,6.0,0.0,11
48,Désiré Doué,attacking midfield,12.4,351,41,57,13,1.3,61,351,254,651,48,39,83,33,9,34,21,1.6,1.4,3
49,Dominick Drexler,attacking midfield,15.2,325,30,52,20,1.6,113,304,223,628,10,17,69,17,2,41,16,2.4,1.6,2
50,Ondrej Duda,attacking midfield,19.5,531,70,84,5,1.3,123,568,251,933,29,27,55,23,3,25,25,1.5,-1.5,2
51,Ondrej Duda,attacking midfield,19.5,531,70,84,5,1.3,123,568,251,933,29,27,55,23,3,25,25,1.5,-1.5,0
52,Lilian Egloff,attacking midfield,2.7,42,3,7,3,0.8,15,40,58,113,3,8,22,3,3,14,8,0.4,-0.4,2
