,Player,Position,PTCrs,PTTB,LxA,LKP,LFTP,LPPA,LPrgP,Att_Pen,TOAtt,TOSucc,CaPrgC,CaCPA,PrgR,90s,npxG,npxG/Sh,SSh_p90,SSoT_90,Off
531,Tim Skarke,right winger,22,0,0.9,11,7,4,13,15,13,3,7,1,36,5.5,0.7,0.7,2.727272727272727,1.0909090909090908,3
532,Robert Skov,right winger,75,2,2.3,21,35,22,49,37,27,7,43,12,97,15.0,3.4,1.8,2.6,0.8,1
533,Augusto Solari,right winger,3,0,0.3,4,9,2,12,6,5,1,5,1,14,2.9,0.3,0.3,0.6896551724137931,0.0,0
534,Ola Solbakken,right winger,12,1,1.0,11,7,4,14,20,14,5,5,7,35,5.6,0.6,0.6,1.6071428571428572,0.1785714285714285,0
535,Manor Solomon,left winger,4,1,0.7,6,5,8,24,11,37,19,16,2,51,6.4,1.2,1.2,1.71875,1.09375,2
536,Hugo Sotelo,right winger,0,0,0.0,0,2,0,2,0,0,0,0,0,0,0.2,0.0,0.0,5.0,0.0,0
537,Riccardo Sottil,left winger,31,2,0.8,15,11,8,27,52,47,13,65,28,123,9.3,1.0,1.0,2.258064516129032,0.8602150537634408,6
538,Matìas Soulé,right winger,6,0,0.3,9,6,4,15,16,25,12,12,4,33,4.7,1.5,1.5,2.127659574468085,1.0638297872340423,0
539,Kevin Spadanuda,left winger,5,0,0.3,8,15,2,17,27,44,23,17,8,56,11.8,0.7,0.7,0.5932203389830508,0.0847457627118644,1
540,Junior Stanislas,left winger,1,0,0.2,2,3,0,4,3,0,0,0,0,5,0.7,0.0,0.0,1.4285714285714286,0.0,0
541,Calvin Stengs,right winger,3,2,0.4,1,11,2,12,6,10,6,10,1,16,2.4,0.3,0.3,1.25,0.4166666666666667,0
542,Raheem Sterling,left winger,46,6,3.2,34,26,31,59,121,93,39,81,39,186,21.0,6.2,6.2,2.0,0.7619047619047619,11
543,Gabriel Strefezza,right winger,121,0,0.0,0,0,0,0,0,0,0,0,0,0,27.1,0.0,0.0,2.5461254612546123,0.6642066420664207,0
544,Kamaldeen Sulemana,left winger,18,1,1.9,20,18,15,54,69,100,51,49,28,137,14.3,3.1,3.1,2.5874125874125875,0.6993006993006994,3
545,Kamaldeen Sulemana,left winger,10,0,1.9,20,18,15,54,69,100,51,49,28,137,14.3,3.1,3.1,2.5874125874125875,0.6993006993006994,3
546,Crysencio Summerville,right winger,14,1,1.1,16,20,12,45,70,60,24,51,19,92,15.8,2.9,2.9,1.835443037974684,0.5696202531645569,8
547,Suso,right winger,79,6,3.2,28,40,28,86,23,42,25,27,7,96,11.8,1.1,1.1,2.0338983050847457,0.7627118644067796,7
548,Dominik Szoboszlai,left winger,117,16,8.6,70,107,46,151,56,105,53,75,12,157,27.2,5.5,4.7,2.1323529411764706,1.0294117647058825,2
549,Marcus Tavernier,left winger,93,5,1.3,19,34,16,56,59,96,45,67,21,137,19.4,3.1,3.1,1.907216494845361,0.7216494845360826,4
550,Martin Terrier,left winger,13,5,2.2,26,39,15,60,85,26,9,34,9,137,14.7,5.6,5.6,3.197278911564626,1.836734693877551,6
551,Tetê,right winger,19,1,2.6,16,41,22,78,90,87,41,71,42,185,20.5,6.0,6.0,2.1951219512195124,0.6829268292682927,9
552,Tetê,right winger,45,1,2.6,16,41,22,78,90,87,41,71,42,185,20.5,6.0,6.0,2.1951219512195124,0.6829268292682927,9
553,Florian Thauvin,right winger,37,3,1.3,10,9,10,24,19,33,10,19,5,49,6.1,0.7,0.7,1.639344262295082,0.4918032786885246,1
554,Jan Thielmann,right winger,37,0,2.1,10,10,11,19,31,35,19,27,9,66,9.7,1.1,1.1,1.3402061855670104,0.7216494845360826,9
555,Sada Thioub,right winger,37,2,1.9,15,46,19,57,21,35,16,23,5,78,11.8,1.4,1.4,0.7627118644067796,0.0847457627118644,0
556,Karl Toko Ekambi,left winger,6,0,4.0,38,39,23,57,136,72,38,88,40,275,25.8,8.0,8.0,2.441860465116279,1.007751937984496,10
557,Karl Toko Ekambi,left winger,25,5,4.0,38,39,23,57,136,72,38,88,40,275,25.8,8.0,8.0,2.441860465116279,1.007751937984496,10
558,Ferrán Torres,left winger,60,1,4.2,25,13,29,44,87,68,30,43,23,180,15.5,4.9,4.1,2.3870967741935485,0.7096774193548387,8
559,Adama Traoré,right winger,81,3,3.2,24,17,22,36,56,104,49,85,25,156,16.6,1.4,1.4,1.1445783132530118,0.4216867469879518,7
560,Bertrand Traoré,right winger,5,0,0.1,1,1,5,9,13,4,1,9,5,28,2.6,0.7,0.7,3.461538461538461,1.1538461538461535,3
561,Leandro Trossard,left winger,55,6,6.0,45,62,55,124,133,66,29,76,34,220,24.9,6.2,6.2,2.208835341365462,0.8835341365461847,4
562,Leandro Trossard,left winger,35,9,6.0,45,62,55,124,133,66,29,76,34,220,24.9,6.2,6.2,2.208835341365462,0.8835341365461847,4
563,Viktor Tsyhankov,right winger,55,1,3.0,36,21,16,46,49,31,17,63,19,120,16.5,2.8,2.8,1.1515151515151516,0.5454545454545454,2
564,Cengiz Ünder,right winger,157,9,7.4,55,71,50,115,130,96,39,69,30,262,27.7,8.3,7.5,2.527075812274368,0.8303249097472925,8
565,Oscar Ureña,right winger,4,0,0.0,0,1,0,1,4,5,4,1,1,10,1.1,0.2,0.2,0.9090909090909092,0.9090909090909092,0
566,Ruben Vargas,left winger,48,2,1.9,16,26,16,42,33,47,21,32,3,68,12.6,1.2,1.2,1.6666666666666667,0.4761904761904762,3
567,Lucas Vázquez,right winger,41,2,3.1,21,28,30,50,46,25,14,31,16,145,12.7,1.9,1.9,1.1023622047244095,0.5511811023622047,3
568,Daniele Verde,right winger,68,1,2.4,18,28,17,42,30,17,6,18,8,57,11.1,2.9,2.1,2.882882882882883,0.9009009009009008,3
569,Emanuel Vignato,right winger,2,0,0.8,4,13,2,16,5,3,1,4,1,9,3.3,0.3,0.3,0.9090909090909092,0.606060606060606,0
570,Emanuel Vignato,right winger,2,0,0.8,4,13,2,16,5,3,1,4,1,9,3.3,0.3,0.3,0.9090909090909092,0.606060606060606,0
571,Toni Villa,left winger,5,0,1.3,15,23,8,42,45,76,25,39,20,96,10.9,1.0,1.0,1.5596330275229358,0.2752293577981651,8
572,Toni Villa,left winger,27,0,1.3,15,23,8,42,45,76,25,39,20,96,10.9,1.0,1.0,1.5596330275229358,0.2752293577981651,8
573,Alan Virginius,left winger,2,0,0.2,1,6,3,10,23,7,0,12,8,32,2.9,3.1,3.1,4.137931034482759,1.7241379310344829,2
574,Lukáš Vorlický,left winger,1,0,0.0,0,1,1,3,2,7,4,2,2,3,0.3,0.0,0.0,3.333333333333333,3.333333333333333,0
575,Theo Walcott,right winger,21,1,1.7,15,7,7,14,44,24,12,21,10,62,12.5,2.2,2.2,1.6,0.56,15
576,Noah Weißhaupt,left winger,15,1,0.8,8,9,6,14,8,16,7,14,4,31,4.7,0.2,0.2,0.425531914893617,0.2127659574468085,1
577,Nico Williams,right winger,174,4,4.1,46,24,36,80,148,200,83,174,64,321,29.5,4.9,4.9,2.067796610169492,0.6779661016949152,14
578,Willian,left winger,60,4,3.1,51,41,30,113,78,71,37,97,29,152,23.6,3.4,3.4,1.7372881355932202,0.7203389830508474,4
579,Harry Wilson,right winger,22,1,1.0,12,20,13,37,37,33,12,18,8,87,12.2,2.0,2.0,1.475409836065574,0.3278688524590164,2
