Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ADWon,ADLost,ADWonp
2543,Dávid Strelec,SVK,FW,Spezia,Serie A,21,2001,1.9,0,0,0,4,1,2,0,0,2,0,0,0,1,5,6,45.45454545454545
2544,Pascal Struijk,NED,DF,Leeds United,Premier League,22,1999,24.4,5,0,0,29,12,0,21,32,57,0,2,0,139,60,43,58.252427184466015
2545,Cristhian Stuani,URU,FW,Girona,La Liga,35,1986,12.1,8,0,0,39,23,7,3,2,6,0,0,0,26,21,24,46.666666666666664
2546,Damián Suárez,URU,"DF,MF",Getafe,La Liga,34,1988,21.6,7,0,0,43,17,2,78,15,33,0,0,0,132,14,16,46.666666666666664
2547,Denis Suárez,ESP,"MF,FW",Espanyol,La Liga,28,1994,10.5,2,0,0,16,14,1,37,5,20,0,0,0,49,4,12,25.0
2548,Mario Suárez,ESP,"MF,DF",Rayo Vallecano,La Liga,35,1987,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2549,Gabriel Suazo,CHI,DF,Toulouse,Ligue 1,24,1997,14.0,1,0,0,18,11,1,14,22,22,0,1,0,104,9,9,50.0
2550,Isaac Success,NGA,FW,Udinese,Serie A,26,1996,20.2,4,0,0,34,77,11,13,4,4,0,0,0,51,38,46,45.23809523809524
2551,Niklas Süle,GER,DF,Dortmund,Bundesliga,26,1995,23.5,2,0,0,8,5,0,16,17,19,0,0,0,150,32,17,65.3061224489796
2552,Ibrahim Sulemana,GHA,MF,Hellas Verona,Serie A,19,2003,7.2,4,0,0,11,3,1,2,14,13,0,0,0,55,10,12,45.45454545454545
2553,Kamaldeen Sulemana,GHA,"FW,MF","Southampton,Rennes","Premier League,Ligue 1",20,2002,14.299999999999999,1,0,0,14,18,3,28,10,12,0,0,0,68,9,19,32.142857142857146
2555,Crysencio Summerville,NED,FW,Leeds United,Premier League,20,2001,15.8,4,0,0,22,41,8,14,13,20,1,0,0,90,5,17,22.727272727272727
2556,Ivan Šunjić,CRO,MF,Hertha BSC,Bundesliga,25,1996,11.0,4,0,0,17,9,1,1,13,20,0,0,0,67,7,14,33.33333333333333
2557,Sam Surridge,ENG,FW,Nott'ham Forest,Premier League,24,1998,3.6,2,0,0,12,10,3,3,0,0,0,1,0,17,13,16,44.827586206896555
2558,Suso,ESP,"MF,FW",Sevilla,La Liga,28,1993,11.8,1,0,0,13,19,7,79,2,10,0,0,0,55,3,7,30.0
2559,Yuito Suzuki,JPN,"FW,MF",Strasbourg,Ligue 1,20,2001,0.4,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,100.0
2560,Mattias Svanberg,SWE,"MF,FW",Wolfsburg,Bundesliga,23,1999,20.4,4,0,0,27,28,4,37,21,16,0,0,0,97,20,34,37.03703703703704
2561,Mile Svilar,SRB,GK,Roma,Serie A,22,1999,3.0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2562,Williot Swedberg,SWE,MF,Celta Vigo,La Liga,18,2004,0.6,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,
2563,Issiaga Sylla,GUI,DF,"Montpellier,Toulouse",Ligue 1,28,1994,29.7,3,0,0,32,27,3,76,70,31,0,0,0,220,39,31,55.714285714285715
2565,Wojciech Szczęsny,POL,GK,Juventus,Serie A,32,1990,27.5,0,0,0,0,1,0,0,0,0,0,0,0,35,10,0,100.0
2566,Dominik Szoboszlai,HUN,"MF,FW",RB Leipzig,Bundesliga,21,2000,27.2,5,2,1,25,39,2,117,17,28,0,1,0,151,7,18,28.000000000000004
2567,Alexander Sørloth,NOR,FW,"Real Sociedad,RB Leipzig","La Liga,Bundesliga",26,1995,26.6,5,0,0,33,16,17,8,2,9,0,0,0,74,60,54,52.63157894736842
2569,Nicolás Tagliafico,ARG,DF,Lyon,Ligue 1,29,1992,33.2,5,0,0,40,59,2,68,57,53,0,2,0,166,42,37,53.16455696202531
